recId,SeqNumber,seqLength,state,city
1,1,1,AL,Mobile
2,0,0,,
3,1,1,AL,Birmingham
4,1,1,AL,Fairhope
5,1,1,AL,Tuscaloosa
6,1,1,AL,Mobile
7,1,1,AL,Foley
8,1,1,AL,Gulf Shores
9,1,1,AL,Foley
10,1,1,AL,Daphne
11,1,1,AL,Atmore
12,1,1,AL,Millbrook
13,1,1,AL,Millry
14,1,1,AL,Montgomery
15,1,1,AL,Madison
16,1,1,AL,Phenix City
17,1,1,AL,Jacksonville
18,1,1,AL,Satsuma
19,1,1,AL,Satsuma
20,1,1,AL,Semmes
21,1,1,AL,Saraland
22,1,1,AL,Stockton
23,1,1,AL,Decatur
24,1,1,AL,Selma
25,1,1,AL,Opp
26,0,0,,
27,1,1,AL,Auburn
28,1,1,AL,Pleasant Grove
29,1,1,AL,Adamsville
30,1,1,AL,Bay Minette
31,1,1,AL,Irvington
32,1,1,AL,Fairhope
33,1,1,AL,Theodore
34,1,1,AL,Robertsdale
35,1,1,AL,Enterprise
36,1,1,AL,Ashville
37,1,1,AL,Boaz
38,1,1,AL,Orange Beach
39,1,1,AL,Gardendale
40,1,1,AL,Hollywood
41,1,1,AL,Oxford
42,1,1,AL,Ozark
43,1,1,AL,Anniston
44,1,1,AL,Pelham
45,1,1,AL,Trussville
46,1,1,AL,York
47,1,1,AL,Dothan
48,1,1,AL,Citronelle
49,1,1,AL,Moody
50,1,1,AL,Florence
51,1,1,AL,Warrior
52,1,1,AL,Cusseta
53,1,1,AL,Lincoln
54,1,1,AL,Deatsville
55,1,1,AL,Leesburg
56,1,1,AL,Loxley
57,1,1,AL,Monroeville
58,1,1,AL,Grand Bay
59,1,1,AL,Wetumpka
60,1,1,AL,Greenville
61,1,1,AL,Tuscumbia
62,1,1,AL,Athens
63,1,1,AL,Alabaster
64,1,1,AL,Fultondale
65,1,1,AL,Opelika
66,1,1,AL,Summerdale
67,1,1,AL,Spanish Fort
68,1,1,AL,Tuskegee
69,1,1,AL,Auburn
70,1,1,AL,Rainsville
71,1,1,AL,Jackson
72,1,1,AL,Eastaboga
73,1,1,AL,Pell City
74,1,1,AL,Jacksonville
75,1,1,AL,Guntersville
76,1,1,AL,Troy
77,1,1,FL,Orlando
78,0,0,,
79,1,1,FL,Orlando
80,1,1,FL,Miami
81,1,1,FL,Tampa
82,1,1,FL,Pensacola
83,1,1,FL,Kissimmee
84,1,1,FL,Perry
85,1,1,FL,Jacksonville
86,1,1,FL,Deltona
87,1,1,FL,Ocala
88,1,1,FL,Navarre
89,1,1,FL,Fort Lauderdale
90,1,1,FL,Hollywood
91,1,1,FL,Winter Garden
92,1,1,FL,Ocoee
93,1,1,FL,Lakeland
94,1,1,FL,Hialeah
95,1,1,FL,Winter Haven
96,1,1,FL,Panama City
97,0,0,,
98,1,1,FL,Milton
99,1,1,FL,St Petersburg
100,1,1,FL,Melbourne
101,1,1,FL,Miami
102,1,1,FL,DeLand
103,1,1,FL,Winter Park
104,1,1,FL,Gainesville
105,1,1,FL,Palm Bay
106,1,1,FL,St Cloud
107,1,1,FL,Windermere
108,1,1,FL,Marianna
109,1,1,FL,Naples
110,1,1,FL,Cantonment
111,1,1,FL,Inverness
112,1,1,FL,Maitland
113,1,1,FL,Boynton Beach
114,1,1,FL,Altamonte Springs
115,1,1,FL,Delray Beach
116,1,1,FL,Apopka
117,1,1,FL,Fruitland Park
118,1,1,FL,Fort Walton Beach
119,1,1,FL,Palm Coast
120,1,1,FL,Clermont
121,1,1,FL,Port Orange
122,1,1,FL,Daytona Beach
123,1,1,FL,Orange City
124,1,1,FL,Defuniak Springs
125,1,1,FL,Gulf Breeze
126,1,1,FL,Oviedo
127,1,1,FL,Winter Springs
128,1,1,FL,Fleming Island
129,1,1,FL,Bradenton
130,1,1,FL,Panama City Beach
131,1,1,FL,Lake Mary
132,1,1,FL,Longwood
133,1,1,FL,Molino
134,1,1,FL,Crestview
135,1,1,FL,Oxford
136,1,1,FL,Merritt Island
137,1,1,FL,Lutz
138,1,1,FL,Pinellas Park
139,1,1,FL,Ruskin
140,1,1,FL,Miami Beach
141,1,1,FL,Mt Dora
142,1,1,FL,Palm Beach Gardens
143,1,1,FL,Destin
144,1,1,FL,Sanford
145,1,1,FL,Plant City
146,1,1,FL,Leesburg
147,1,1,FL,Davenport
148,1,1,FL,Brandon
149,1,1,FL,Ormond Beach
150,1,1,FL,Quincy
151,1,1,FL,Fernandina Beach
152,1,1,FL,Sarasota
153,1,1,FL,New Port Richey
154,1,1,FL,Pensacola
155,1,1,FL,Lady Lake
156,1,1,FL,New Smyrna Beach
157,1,1,FL,Mulberry
158,1,1,FL,Fort White
159,1,1,FL,Orange Park
160,1,1,FL,Tallahassee
161,1,1,FL,Sebastian
162,1,1,FL,Tarpon Springs
163,1,1,FL,Sun City Center
164,1,1,FL,Milton
165,1,1,FL,St Augustine
166,1,1,FL,Riverview
167,1,1,FL,Pompano Beach
168,1,1,FL,Port St Lucie
169,1,1,FL,The Villages
170,1,1,FL,West Palm Beach
171,1,1,FL,Lehigh Acres
172,1,1,FL,Fort Myers
173,1,1,FL,Deerfield Beach
174,1,1,FL,Valrico
175,1,1,FL,Clearwater
176,1,1,FL,Mary Esther
177,1,1,FL,Lithia
178,1,1,FL,Alachua
179,1,1,FL,Lake Worth
180,1,1,FL,Crawfordville
181,1,1,FL,Homestead
182,1,1,FL,Shalimar
183,1,1,FL,Wesley Chapel
184,1,1,FL,Largo
185,1,1,FL,Islamorada
186,1,1,FL,Zephyrhills
187,1,1,FL,Edgewater
188,1,1,FL,Summerfield
189,1,1,FL,Lynn Haven
190,1,1,FL,Bronson
191,1,1,FL,Melbourne
192,1,1,FL,Rockledge
193,1,1,FL,Rotonda West
194,1,1,FL,Spring Hill
195,1,1,FL,Ponte Vedra Beach
196,1,1,FL,Lakeland
197,1,1,FL,Haines City
198,1,1,FL,Niceville
199,1,1,FL,Port Charlotte
200,1,1,FL,Cocoa Beach
201,1,1,FL,Venice
202,1,1,FL,Dunnellon
203,1,1,FL,Plant City
204,1,1,FL,Madison
205,1,1,FL,Port Charlotte
206,1,1,FL,Hudson
207,1,1,FL,Clearwater
208,1,1,FL,St James City
209,1,1,FL,Archer
210,1,1,FL,Titusville
211,1,1,FL,North Palm Beach
212,1,1,FL,Cantonment
213,1,1,FL,Cross City
214,1,1,FL,Jacksonville
215,1,1,FL,Cocoa
216,1,1,FL,Cocoa
217,1,1,FL,Jay
218,1,1,FL,Windermere
219,1,1,FL,Key West
220,1,1,FL,Middleburg
221,1,1,FL,DeLand
222,1,1,FL,Belleview
223,1,1,LA,New Orleans
224,1,1,LA,Houma
225,1,1,LA,Thibodaux
226,1,1,LA,Baton Rouge
227,1,1,LA,Cut Off
228,1,1,LA,Lafayette
229,1,1,LA,Chauvin
230,1,1,LA,Metairie
231,1,1,LA,Chauvin
232,1,1,LA,New Orleans
233,1,1,LA,New Iberia
234,0,0,,
235,1,1,LA,Opelousas
236,1,1,LA,Larose
237,1,1,LA,Cut Off
238,1,1,LA,Marrero
239,1,1,LA,Thibodaux
240,1,1,LA,Harvey
241,1,1,LA,Hammond
