recId,SeqNumber,seqLength,lat,lng,displayState,displayCity,performanceImpressions
246,1,1,29.97333,-92.13575,LA,Abbeville,477
286,1,1,29.97333,-92.13575,LA,Abbeville,129
809,1,1,32.44917,-99.74142,TX,Abilene,4
310,1,1,30.47833,-90.03563,LA,Abita Springs,68
313,1,1,30.47833,-90.03563,LA,Abita Springs,67
553,1,1,33.31193,-89.17677,MS,Ackerman,32
29,1,1,33.60056,-86.95372,AL,Adamsville,12
63,1,1,33.2451,-86.81635,AL,Alabaster,1
178,1,1,29.79309,-82.49428,FL,Alachua,5
440,1,1,30.50425,-90.58197,LA,Albany,2
821,1,1,32.696,-97.60502,TX,Aledo,3
317,1,1,31.31266,-92.44568,LA,Alexandria,59
376,1,1,31.31266,-92.44568,LA,Alexandria,14
894,1,1,33.10144,-96.67449,TX,Allen,1
114,1,1,28.66591,-81.35977,FL,Altamonte Springs,49
