state,city
Alabama,Mobile
Alabama,Unknown
Alabama,Birmingham
Alabama,Fairhope
Alabama,Tuscaloosa
Alabama,Mobile
Alabama,Foley
Alabama,Gulf Shores
Alabama,Foley
Alabama,Daphne
Alabama,Atmore
Alabama,Millbrook
Alabama,Millry
Alabama,Montgomery
Alabama,Madison
Alabama,Phenix City
Alabama,Jacksonville
Alabama,Satsuma
Alabama,Satsuma
Alabama,Semmes
Alabama,Saraland
Alabama,Stockton
Alabama,Decatur
Alabama,Selma
Alabama,Opp
Alabama,Unknown
Alabama,Auburn
Alabama,Pleasant Grove
Alabama,Adamsville
Alabama,Bay Minette
Alabama,Irvington
Alabama,Fairhope
Alabama,Theodore
Alabama,Robertsdale
Alabama,Enterprise
Alabama,Ashville
Alabama,Boaz
Alabama,Orange Beach
Alabama,Gardendale
Alabama,Hollywood
Alabama,Oxford
Alabama,Ozark
Alabama,Anniston
Alabama,Pelham
Alabama,Trussville
Alabama,York
Alabama,Dothan
Alabama,Citronelle
Alabama,Moody
Alabama,Florence
Alabama,Warrior
Alabama,Cusseta
Alabama,Lincoln
Alabama,Deatsville
Alabama,Leesburg
Alabama,Loxley
Alabama,Monroeville
Alabama,Grand Bay
Alabama,Wetumpka
Alabama,Greenville
Alabama,Tuscumbia
Alabama,Athens
Alabama,Alabaster
Alabama,Fultondale
Alabama,Opelika
Alabama,Summerdale
Alabama,Spanish Fort
Alabama,Tuskegee
Alabama,Auburn
Alabama,Rainsville
Alabama,Jackson
Alabama,Eastaboga
Alabama,Pell City
Alabama,Jacksonville
Alabama,Guntersville
Alabama,Troy
Florida,Orlando
Florida,Unknown
Florida,Orlando
Florida,Miami
Florida,Tampa
Florida,Pensacola
Florida,Kissimmee
Florida,Perry
Florida,Jacksonville
Florida,Deltona
Florida,Ocala
Florida,Navarre
Florida,Fort Lauderdale
Florida,Hollywood
Florida,Winter Garden
Florida,Ocoee
Florida,Lakeland
Florida,Hialeah
Florida,Winter Haven
Florida,Panama City
Florida,Unknown
Florida,Milton
Florida,Saint Petersburg
Florida,Melbourne
Florida,Miami
Florida,Deland
Florida,Winter Park
Florida,Gainesville
Florida,Palm Bay
Florida,Saint Cloud
Florida,Windermere
Florida,Marianna
Florida,Naples
Florida,Cantonment
Florida,Inverness
Florida,Maitland
Florida,Boynton Beach
Florida,Altamonte Springs
Florida,Delray Beach
Florida,Apopka
Florida,Fruitland Park
Florida,Fort Walton Beach
Florida,Palm Coast
Florida,Clermont
Florida,Port Orange
Florida,Daytona Beach
Florida,Orange City
Florida,Defuniak Springs
Florida,Gulf Breeze
Florida,Oviedo
Florida,Winter Springs
Florida,Fleming Island
Florida,Bradenton
Florida,Panama City Beach
Florida,Lake Mary
Florida,Longwood
Florida,Molino
Florida,Crestview
Florida,Oxford
Florida,Merritt Island
Florida,Lutz
Florida,Pinellas Park
Florida,Ruskin
Florida,Miami Beach
Florida,Mount Dora
Florida,Palm Beach Gardens
Florida,Destin
Florida,Sanford
Florida,Plant City
Florida,Leesburg
